CERT,STNAME,DOCKET,ACTIVE,ADDRESS,ASSET,CITY,COUNTY,DEP,INACTIVE,NAME,NEWCERT,ROA,ROAQ,ROE,ROEQ,ZIP
28151,Illinois,1001,1,7820 W 26th St,454325,North Riverside,Cook,396508,0,West Town Bank & Trust,0,2.512887056,2.2,21.95,18.84,60546
9244,Georgia,0,1,102 E Barnard St,380502,Glennville,Tattnall,345370,0,Glennville Bank,0,1.599201857,1.26,20.03,15.41,30427
17438,Michigan,11072,1,241 E Saginaw St,5278452,East Lansing,Ingham,3082078,0,First National Bank of America,0,2.673454688,2.55,31.97,30.45,48823
23244,Illinois,0,1,114 N Warsaw St,46950,Ursa,Adams,40706,0,North Adams State Bank,0,1.110158201,1.81,8.41,13.96,62376
2318,Oklahoma,0,0,115 West A Street,253756,Watonga,Blaine,228080,1,Cornerstone Bank,4147,0.700583823,0.34,7.35,3.67,73772
13179,Michigan,10580,1,200 E Main St,420443,Harbor Springs,Emmet,375020,0,First Community Bank,0,1.830272742,1.55,21.85,18.75,49740
33519,Alabama,10615,0,301 North Elm Street,52339,Tuskegee,Macon,47053,1,First Tuskegee Bank,20856,-1.046954766,-1.74,-13.13,-21.57,36083
5087,Minnesota,0,1,31 Central St E,110137,Bagley,Clearwater,102817,0,The First National Bank of Bagley,0,0.780256841,0.62,13.93,10.9,56621
14523,Ohio,13523,1,305 S Main St,153505,Antwerp,Paulding,142827,0,The Antwerp Exchange Bank Company,0,0.625097231,0.66,10.06,10.66,45813
7337,New York,13791,0,131-135 Delaware Street,375497,Walton,Delaware,327673,1,The National Bank of Delaware County,698,0.248306877,0.18,2.34,1.66,13856
22939,Washington,13657,0,222 N Wall St,762636,Spokane,Spokane,608992,1,Wheatland Bank,30788,0.840588904,0.83,11.88,11.6,99201
58324,Texas,0,1,2600 S Gessner Rd,160087,Houston,Harris,138602,0,Lone Star Bank,0,0.560673012,-0.35,4.33,-2.7,77063
90251,Massachusetts,8496,1,63 State St,1543560,Newburyport,Essex,1214697,0,Newburyport Five Cents Savings Bank,0,0.165400659,-0.06,2,-0.69,1950
58782,New Jersey,0,0,408 Elizabeth Avenue,87557,Somerset,Somerset,79073,1,Community First Bank,58574,-1.176073969,-1.18,-12.83,-12.83,8873
57821,Maryland,0,0,"502 Washington Avenue, Suite 300",1605,Towson,Baltimore,0,1,Maryland Financial Bank,0,-32.74075195,-32.74,-128.69,-128.69,21204
15064,Michigan,11978,0,3992 E Chandler St,213964,Carsonville,Sanilac,198273,1,Exchange State Bank,14513,0.548013486,-0.41,6.71,-5.84,48419
20081,Illinois,0,0,3814 West Elm Street,176736,Mchenry,Mchenry,151354,1,The First National Bank of McHenry,14078,-0.483739086,0.86,-4.11,6.56,60050
3191,Texas,11206,0,1500 North Fabens Road,345170,Fabens,El Paso,280855,1,First National Bank,32941,2.2381951,2.12,19.92,18.98,79838
35058,Kentucky,0,0,36 Main Street,47646,Martin,Floyd,41401,1,First Guaranty Bank,2721,0.108686565,0.11,0.98,0.98,41649
5296,Wisconsin,0,1,200 N Adams St,41588249,Green Bay,Brown,32145699,0,"Associated Bank, National Association",0,0.928917163,0.83,9.23,8.42,54301
35320,Georgia,0,1,250 E Lee St,372042,Dawson,Terrell,330107,0,Georgia Community Bank,0,1.436566871,1.71,13.69,16.04,39842
11934,Texas,0,1,17304 Preston Rd,518592,Dallas,Dallas,453793,0,Dominion Bank,0,1.259307927,1.2,12.09,11.54,75252
58084,Pennsylvania,0,0,7226 Germantown Avenue,424567,Philadelphia,Philadelphia,385226,1,Valley Green Bank,7759,1.15364575,0.65,13.11,7.48,19119
10803,Illinois,0,1,2994 County Road 900 E,27783,Dewey,Champaign,24679,0,Dewey Bank,0,0.81072915,0.76,7.66,7.08,61840
12388,Illinois,12312,1,512 W Main St,102147,Williamsville,Sangamon,93952,0,Williamsville State Bank & Trust,0,0.655118674,0.8,7.85,9.78,62693
35521,Tennessee,0,1,2106 Crestmoor Rd,811057,Nashville,Davidson,657793,0,InsBank,0,1.224086791,1.32,10.89,11.87,37215
58312,Texas,0,0,121 W. Interstate Highway 30,77433,Royse City,Rockwall,62835,1,Texas Leadership Bank,1208,0.499419593,3.69,3.49,24.5,75189
6531,Ohio,8897,1,102 S Main St,986795,Bluffton,Allen,773067,0,The Citizens National Bank of Bluffton,0,2.139363931,2.44,24.11,28.43,45817
34656,Texas,0,1,9999 Bellaire Blvd,2581976,Houston,Harris,2221236,0,American First National Bank,0,2.055532091,1.92,17.1,15.53,77036
21848,Oklahoma,10048,1,12201 N May Ave,765292,Oklahoma City,Oklahoma,694701,0,Quail Creek Bank,0,1.826557708,2.04,20.49,23.03,73120
15873,Illinois,0,1,451 N Main Ave,174372,Milledgeville,Carroll,131726,0,Milledgeville State Bank,0,1.255017422,1.26,13.86,14.22,61051
10886,Illinois,10062,1,1108 Us Highway 45 N,637238,Eldorado,Saline,577419,0,Legence Bank,0,1.407456176,1.77,19.81,25.79,62930
10621,Missouri,0,0,106 North Main Street,216867,Gideon,New Madrid,162244,1,First Commercial Bank,28332,1.171602464,1.02,9.48,8.05,63848
29858,Ohio,4215,1,152 N Wooster Ave,217282,Strasburg,Tuscarawas,200383,0,SSB Community Bank,0,1.313959,1.17,17.47,15.54,44680
28139,North Carolina,972,0,101 North Howe Street,212528,Southport,Brunswick,167478,1,"Security Savings Bank, SSB",16799,-1.123459358,-2.81,-44.89,-121.19,28461
4156,Oklahoma,13689,0,102 South Main Street,256682,Newkirk,Kay,219849,1,The Eastman National Bank of Newkirk,25858,1.040145375,0.15,10.44,1.45,74647
10121,Iowa,15849,1,502 8th Ave,159238,Durant,Cedar,130254,0,Liberty Trust & Savings Bank,0,1.17603262,1.1,6.67,6.14,52747
29140,North Dakota,2983,1,215 5th St N,739063,Fargo,Cass,575860,0,American Federal Bank,0,1.116658693,0.98,12.88,11.28,58102
