CERT,Bank_Name,City,ST,Acquiring_Institution,Closing_Date,Updated_Date
27405,Putnam State Bank,Palatka,FL,Harbor Community Bank,2012-06-15,2014-03-21
34515,Waccamaw Bank,Whiteville,NC,First Community Bank,2012-06-08,2014-03-21
9257,Farmers' and Traders' State Bank,Shabbona,IL,First State Bank,2012-06-08,2012-10-10
35372,Carolina Federal Savings Bank,Charleston,SC,Bank of North Carolina,2012-06-08,2014-03-21
416,First Capital Bank,Kingfisher,OK,F & M Bank,2012-06-08,2015-02-05
35224,"Alabama Trust Bank, National Association",Sylacauga,AL,Southern States Bank,2012-05-18,2015-09-21
23156,"Security Bank, National Association",North Lauderdale,FL,Banesco USA,2012-05-04,2016-04-12
23632,Palm Desert National Bank,Palm Desert,CA,Pacific Premier Bank,2012-04-27,2015-12-07
32503,Plantation Federal Bank,Pawleys Island,SC,First Federal Bank,2012-04-27,2016-11-10
31495,"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,Great Southern Bank,2012-04-27,2013-05-17
57766,HarVest Bank of Maryland,Gaithersburg,MD,Sonabank,2012-04-27,2015-09-21
26759,Bank of the Eastern Shore,Cambridge,MD,No Acquirer,2012-04-27,2012-10-17
35527,"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,Alma Bank,2012-04-20,2013-05-17
33883,Fidelity Bank,Dearborn,MI,The Huntington National Bank,2012-03-30,2014-02-04
35419,Premier Bank,Wilmette,IL,International Bank of Chicago,2012-03-23,2012-10-17
58068,Covenant Bank & Trust,Rock Spring,GA,"Stearns Bank, N.A.",2012-03-23,2014-03-21
57597,New City Bank,Chicago,IL,No Acquirer,2012-03-09,2012-10-29
34046,Global Commerce Bank,Doraville,GA,Metro City Bank,2012-03-02,2014-06-26
29178,Home Savings of America,Little Falls,MN,No Acquirer,2012-02-24,2012-12-17
5687,Central Bank of Georgia,Ellaville,GA,Ameris Bank,2012-02-24,2014-03-21
29761,SCB Bank,Shelbyville,IN,"First Merchants Bank, National Association",2012-02-10,2015-02-19
23187,Charter National Bank and Trust,Hoffman Estates,IL,"Barrington Bank & Trust Company, National Association",2012-02-10,2013-03-25
19869,BankEast,Knoxville,TN,"U.S. Bank, N.A.",2012-01-27,2015-12-07
34823,Patriot Bank Minnesota,Forest Lake,MN,First Resource Bank,2012-01-27,2012-09-12
35296,Tennessee Commerce Bank,Franklin,TN,Republic Bank & Trust Company,2012-01-27,2014-03-21
16579,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,"CenterState Bank of Florida, N.A.",2012-01-27,2016-07-11
31581,American Eagle Savings Bank,Boothwyn,PA,"Capital Bank, N.A.",2012-01-20,2013-01-25
19252,The First State Bank,Stockbridge,GA,Hamilton State Bank,2012-01-20,2014-03-21
57186,Central Florida State Bank,Belleview,FL,"CenterState Bank of Florida, N.A.",2012-01-20,2016-06-06
57917,Western National Bank,Phoenix,AZ,Washington Federal,2011-12-16,2015-02-05
58343,Premier Community Bank of the Emerald Coast,Crestview,FL,Summit Bank,2011-12-16,2014-03-21
19657,Central Progressive Bank,Lacombe,LA,First NBC Bank,2011-11-18,2015-02-05
14194,Polk County Bank,Johnston,IA,Grinnell State Bank,2011-11-18,2012-08-15
57860,Community Bank of Rockmart,Rockmart,GA,Century Bank of Georgia,2011-11-10,2014-03-21
57087,SunFirst Bank,Saint George,UT,Cache Valley Bank,2011-11-04,2012-11-16
19397,"Mid City Bank, Inc.",Omaha,NE,Premier Bank,2011-11-04,2012-08-15
57759,All American Bank,Des Plaines,IL,International Bank of Chicago,2011-10-28,2012-08-15
21132,Community Banks of Colorado,Greenwood Village,CO,"Bank Midwest, N.A.",2011-10-21,2013-01-02
57036,Community Capital Bank,Jonesboro,GA,State Bank and Trust Company,2011-10-21,2016-01-06
34392,Decatur First Bank,Decatur,GA,Fidelity Bank,2011-10-21,2014-03-21
57537,Old Harbor Bank,Clearwater,FL,1st United Bank,2011-10-21,2014-03-21
35395,Country Bank,Aledo,IL,Blackhawk Bank & Trust,2011-10-14,2017-04-13
58046,First State Bank,Cranford,NJ,Northfield Bank,2011-10-14,2012-11-08
32347,"Blue Ridge Savings Bank, Inc.",Asheville,NC,Bank of North Carolina,2011-10-14,2014-03-21
57256,Piedmont Community Bank,Gray,GA,State Bank and Trust Company,2011-10-14,2014-03-21
20115,Sun Security Bank,Ellington,MO,Great Southern Bank,2011-10-07,2017-05-08
10216,The RiverBank,Wyoming,MN,Central Bank,2011-10-07,2012-11-07
33513,First International Bank,Plano,TX,American First National Bank,2011-09-30,2015-02-05
33983,Citizens Bank of Northern California,Nevada City,CA,Tri Counties Bank,2011-09-23,2012-10-09
20408,Bank of the Commonwealth,Norfolk,VA,Southern Bank and Trust Company,2011-09-23,2012-10-09
25155,The First National Bank of Florida,Milton,FL,CharterBank,2011-09-09,2014-03-21
58226,CreekSide Bank,Woodstock,GA,Georgia Commerce Bank,2011-09-02,2017-06-23
58273,Patriot Bank of Georgia,Cumming,GA,Georgia Commerce Bank,2011-09-02,2017-06-28
57212,First Choice Bank,Geneva,IL,Inland Bank & Trust,2011-08-19,2015-02-05
57239,First Southern National Bank,Statesboro,GA,Heritage Bank of the South,2011-08-19,2016-03-02
35356,Lydian Private Bank,Palm Beach,FL,"Sabadell United Bank, N.A.",2011-08-19,2014-03-21
34130,Public Savings Bank,Huntingdon Valley,PA,"Capital Bank, N.A.",2011-08-18,2012-08-15
4744,The First National Bank of Olathe,Olathe,KS,Enterprise Bank & Trust,2011-08-12,2012-08-23
22528,Bank of Whitman,Colfax,WA,Columbia State Bank,2011-08-05,2012-08-16
22637,Bank of Shorewood,Shorewood,IL,Heartland Bank and Trust Company,2011-08-05,2016-10-20
4392,Integra Bank National Association,Evansville,IN,Old National Bank,2011-07-29,2012-08-16
58222,"BankMeridian, N.A.",Columbia,SC,SCBT National Association,2011-07-29,2014-03-21
58283,Virginia Business Bank,Richmond,VA,Xenith Bank,2011-07-29,2012-10-09
2994,Bank of Choice,Greeley,CO,"Bank Midwest, N.A.",2011-07-22,2012-09-12
