Cert,Report_Period,Institution_Name,City,State,Class,Total_Assets,Total_Deposits
14,20230930,STATE STREET BANK AND TRUST COMPANY,BOSTON,MA,SM,280469000,158294000
35,20230930,AUBURNBANK,AUBURN,AL,SM,1030185,965903
39,20230930,ROBERTSON BANKING COMPANY,DEMOPOLIS,AL,NM,452906,402728
41,20230930,PHENIX-GIRARD BANK,PHENIX CITY,AL,NM,256781,258985
49,20230930,BANK OF EVERGREEN,EVERGREEN,AL,NM,70732,63284
50,20230930,COMMUNITY SPIRIT BANK,RED BAY,AL,NM,202247,187557
51,20230930,THE BANK OF VERNON,VERNON,AL,NM,318143,263069
52,20230930,THE CITIZENS BANK OF WINFIELD,WINFIELD,AL,NM,314329,225262
54,20230930,THE EXCHANGE BANK OF ALABAMA,ALTOONA,AL,NM,354594,316951
58,20230930,UNITED BANK,ATMORE,AL,NM,1163548,1010215
70,20230930,PEOPLES EXCHANGE BANK,MONROEVILLE,AL,NM,96348,87114
72,20230930,CENTRAL STATE BANK,CALERA,AL,SM,579541,525533
77,20230930,BANKSOUTH,DOTHAN,AL,NM,204454,164483
81,20230930,WARREN BANK AND TRUST COMPANY,WARREN,AR,SM,152055,110806
88,20230930,GENERATIONS BANK,ROGERS,AR,NM,866983,720336
89,20230930,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,AR,SM,1087084,927420
90,20230930,COMMERCIAL BANK & TRUST COMPANY,MONTICELLO,AR,SM,247800,230526
93,20230930,RIVERSIDE BANK,SPARKMAN,AR,NM,59857,50997
94,20230930,FIRST STATE BANK OF WARREN,WARREN,AR,SM,117192,109228
99,20230930,BANK OF DELIGHT,DELIGHT,AR,NM,170242,135601
105,20230930,BANK OF CAVE CITY,CAVE CITY,AR,SM,176391,143978
107,20230930,THE MERCHANTS & PLANTERS BANK,CLARENDON,AR,NM,45573,43495
109,20230930,HORATIO STATE BANK,HORATIO,AR,NM,283441,251924
110,20230930,BANK OZK,LITTLE ROCK,AR,NM,32767328,25552856
131,20230930,SEACOAST NATIONAL BANK,STUART,FL,N,14814617,12111718
147,20230930,CENTURY BANK AND TRUST,MILLEDGEVILLE,GA,NM,343951,304787
148,20230930,BANK OF MADISON,MADISON,GA,NM,388792,354759
149,20230930,BANK OF HAZLEHURST,HAZLEHURST,GA,NM,125336,117299
155,20230930,BANK OF ALAPAHA,ALAPAHA,GA,NM,218374,204487
160,20230930,EXCHANGE BANK,MILLEDGEVILLE,GA,NM,370869,321504
169,20230930,FIRST NATIONAL BANK OF GRIFFIN,GRIFFIN,GA,N,367800,335455
170,20230930,THE PEOPLES BANK OF GEORGIA,TALBOTTON,GA,NM,166614,146306
172,20230930,UNITED BANK,ZEBULON,GA,NM,2158409,1953876
175,20230930,THE COMMERCIAL BANK,CRAWFORD,GA,NM,385490,361322
178,20230930,TALBOT STATE BANK,WOODLAND,GA,NM,54967,48189
183,20230930,THE MERCHANTS & CITIZENS BANK,MCRAE,GA,NM,124207,113317
197,20230930,ALLIANCE BANK,FRANCESVILLE,IN,NM,399012,355084
210,20230930,TRI-COUNTY BANK & TRUST COMPANY,ROACHDALE,IN,NM,289219,228416
214,20230930,WASHINGTON STATE BANK,WASHINGTON,IA,SM,548508,472016
226,20230930,GUTHRIE COUNTY STATE BANK,PANORA,IA,NM,249854,192206
228,20230930,AMERICAN STATE BANK,SIOUX CENTER,IA,NM,1305081,1106871
230,20230930,COMMUNITY STATE BANK,SPENCER,IA,NM,321600,276184
231,20230930,COMMERCIAL SAVINGS BANK,CARROLL,IA,SM,280993,241548
232,20230930,SOLON STATE BANK,SOLON,IA,NM,119172,87392
234,20230930,POCAHONTAS STATE BANK,POCAHONTAS,IA,NM,115977,86335
235,20230930,SECURITY STATE BANK,SUTHERLAND,IA,NM,348930,273390
245,20230930,RACCOON VALLEY BANK,PERRY,IA,NM,441365,398316
248,20230930,STATE SAVINGS BANK,WEST DES MOINES,IA,NM,205002,150967
251,20230930,FIRST SECURITY BANK,MAPLETON,IA,NM,70797,62703
252,20230930,PINNACLE BANK,MARSHALLTOWN,IA,SM,300844,258676
253,20230930,LUANA SAVINGS BANK,LUANA,IA,NM,2018032,1774286
254,20230930,FIRST WHITNEY BANK AND TRUST,ATLANTIC,IA,NM,266880,241637
258,20230930,STOCK YARDS BANK & TRUST COMPANY,LOUISVILLE,KY,NM,7901513,6403888
262,20230930,CITIZENS BANK,MOUNT VERNON,KY,NM,207013,177539
267,20230930,KENTUCKY FARMERS BANK CORPORATION,CATLETTSBURG,KY,NM,272895,232099
275,20230930,"MORGANTOWN BANK & TRUST COMPANY, INCORPORATED",MORGANTOWN,KY,NM,301956,264637
281,20230930,HYDEN CITIZENS BANK,HYDEN,KY,NM,141836,129428
284,20230930,AUBURN BANKING COMPANY,AUBURN,KY,NM,126005,108700
287,20230930,COMMUNITY FINANCIAL SERVICES BANK,BENTON,KY,SM,1361388,1211638
288,20230930,FARMERS & TRADERS BANK OF CAMPTON,CAMPTON,KY,NM,66640,60872
289,20230930,BANK OF HINDMAN,HINDMAN,KY,NM,254300,208839
291,20230930,JACKSON COUNTY BANK,MC KEE,KY,NM,162251,105580
292,20230930,THE MONTICELLO BANKING COMPANY,MONTICELLO,KY,SM,1178451,926603
296,20230930,BANK OF EDMONSON COUNTY,BROWNSVILLE,KY,NM,273137,241328
297,20230930,LEWISBURG BANKING COMPANY,LEWISBURG,KY,SM,177010,151312
303,20230930,UNITED CUMBERLAND BANK,WHITLEY CITY,KY,NM,379240,331802
304,20230930,CLINTON BANK,CLINTON,KY,NM,67045,55937
306,20230930,BANK OF ZACHARY,ZACHARY,LA,NM,399736,361305
307,20230930,LANDMARK BANK,CLINTON,LA,NM,193014,165885
314,20230930,THE MER ROUGE STATE BANK,MER ROUGE,LA,NM,50684,46681
321,20230930,HOLMES COUNTY BANK,LEXINGTON,MS,NM,146648,132603
324,20230930,CITIZENS BANK,COLUMBIA,MS,NM,442223,387154
327,20230930,MERCHANTS AND PLANTERS BANK,RAYMOND,MS,NM,202294,170179
340,20230930,"THE PEOPLES BANK, BILOXI, MISSISSIPPI",BILOXI,MS,NM,810028,730724
342,20230930,FARMERS STATE BANK,VICTOR,MT,SM,715004,612436
352,20230930,THE BANK OF BAKER,BAKER,MT,NM,161872,142488
358,20230930,STOCKMENS BANK,CASCADE,MT,SM,43161,38644
363,20230930,"FIRST MONTANA BANK, INC.",MISSOULA,MT,SM,563609,433965
384,20230930,THE OHIO VALLEY BANK COMPANY,GALLIPOLIS,OH,SM,1295601,1099061
389,20230930,THE PEOPLES BANK,GAMBIER,OH,NM,59621,54786
399,20230930,FIRST SUMMIT BANK,RYAN,OK,NM,26981,22864
402,20230930,SOONER STATE BANK,TUTTLE,OK,NM,319800,291336
404,20230930,THE FARMERS STATE BANK,QUINTON,OK,SM,177257,169564
406,20230930,CLEO STATE BANK,CLEO SPRINGS,OK,NM,108676,94808
414,20230930,THE STOCK EXCHANGE BANK,WOODWARD,OK,NM,291673,247812
418,20230930,HIGH PLAINS BANK,OKEENE,OK,NM,180889,156910
420,20230930,BANK OF VICI,VICI,OK,NM,33676,30445
421,20230930,SECURITY STATE BANK,CHEYENNE,OK,NM,238771,214741
428,20230930,AMERICAN EXCHANGE BANK,HENRYETTA,OK,NM,85063,75495
432,20230930,SECURITY FIRST NATIONAL BANK OF HUGO,HUGO,OK,N,132243,116839
444,20230930,PS BANK,WYALUSING,PA,NM,537437,473580
445,20230930,MERCER COUNTY STATE BANK,SANDY LAKE,PA,NM,553794,498747
485,20230930,SECURITY BANK MIDWEST,TYNDALL,SD,NM,292843,237037
492,20230930,WESTERN DAKOTA BANK,TIMBER LAKE,SD,NM,65599,59653
496,20230930,BANKSTAR FINANCIAL,ELKTON,SD,NM,281796,226903
501,20230930,FARMERS AND MERCHANTS STATE BANK,PLANKINTON,SD,NM,139177,117935
504,20230930,DAKOTA PRAIRIE BANK,FORT PIERRE,SD,NM,124575,110864
505,20230930,GREAT PLAINS BANK,EUREKA,SD,NM,142429,118988
526,20230930,FARMERS STATE BANK,PINE BLUFFS,WY,SM,28509,25564
529,20230930,CENTRAL BANK AND TRUST,LANDER,WY,NM,216830,189477
588,20230930,MANUFACTURERS AND TRADERS TRUST COMPANY,BUFFALO,NY,SM,208606449,166827144
597,20230930,CHEMUNG CANAL TRUST COMPANY,ELMIRA,NY,SM,2704760,2479398
609,20230930,TOMPKINS COMMUNITY BANK,ITHACA,NY,NM,7657010,6663153
618,20230930,BANK OF MILLBROOK,MILLBROOK,NY,SM,298105,272651
622,20230930,AMALGAMATED BANK,NEW YORK,NY,NM,7919038,7016164
623,20230930,DEUTSCHE BANK TRUST COMPANY AMERICAS,NEW YORK,NY,SM,38079000,25355000
628,20230930,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",COLUMBUS,OH,N,3385581000,2020955000
639,20230930,THE BANK OF NEW YORK MELLON,NEW YORK,NY,SM,328468000,189421000
659,20230930,FIVE STAR BANK,WARSAW,NY,SM,6095556,5340373
660,20230930,THE ADIRONDACK TRUST COMPANY,SARATOGA SPRINGS,NY,SM,1611868,1392690
686,20230930,FIRST COLUMBIA BANK & TRUST CO.,BLOOMSBURG,PA,NM,954008,641578
698,20230930,WAYNE BANK,HONESDALE,PA,NM,2180781,1747634
713,20230930,ORRSTOWN BANK,SHIPPENSBURG,PA,SM,3053955,2559256
737,20230930,THE APPLE CREEK BANKING COMPANY,APPLE CREEK,OH,SM,232550,192481
763,20230930,MINSTER BANK,MINSTER,OH,SM,707958,643455
769,20230930,THE FARMERS BANK AND SAVINGS COMPANY,POMEROY,OH,NM,424222,380217
803,20230930,"WESBANCO BANK, INC.",WHEELING,WV,NM,17302579,13359706
823,20230930,CITIZENS BANK AND TRUST COMPANY,BLACKSTONE,VA,SM,547688,488841
845,20230930,THE BANK OF ROMNEY,ROMNEY,WV,SM,357513,262258
847,20230930,THE PLEASANTS COUNTY BANK,SAINT MARYS,WV,SM,73728,67296
855,20230930,"MERCHANTS & FARMERS BANK OF GREENE COUNTY, ALABAMA",EUTAW,AL,NM,107985,96419
861,20230930,STATE BANK & TRUST,WINFIELD,AL,NM,364799,323111
872,20230930,STATE BANK OF COCHRAN,COCHRAN,GA,NM,253594,209429
873,20230930,SYNOVUS BANK,COLUMBUS,GA,SM,59211156,50849840
876,20230930,BANK OF DAWSON,DAWSON,GA,NM,141411,120238
877,20230930,MAGNOLIA STATE BANK,EASTMAN,GA,NM,216034,188474
879,20230930,FARMERS STATE BANK,LINCOLNTON,GA,NM,168967,149142
889,20230930,GEORGIA FIRST BANK,SOPERTON,GA,NM,192937,174587
893,20230930,CITIZENS BANK,CARTHAGE,TN,NM,739971,648874
898,20230930,THE BANK OF FOREST,FOREST,MS,NM,244872,216864
899,20230930,THE GERBER STATE BANK,ARGENTA,IL,NM,87371,81821
902,20230930,BYRON BANK,BYRON,IL,NM,348538,319488
903,20230930,AMALGAMATED BANK OF CHICAGO,CHICAGO,IL,NM,1030204,876814
913,20230930,THE NORTHERN TRUST COMPANY,CHICAGO,IL,SM,145817444,41980319
925,20230930,THE STATE BANK OF GENEVA,GENEVA,IL,SM,105163,92661
926,20230930,PEOPLES NATIONAL BANK OF KEWANEE,KEWANEE,IL,N,535892,491539
931,20230930,CITIZENS STATE BANK OF MILFORD,MILFORD,IL,NM,54875,51875
950,20230930,IOWA STATE BANK,ALGONA,IA,NM,446181,333574
951,20230930,CHEROKEE STATE BANK,CHEROKEE,IA,NM,258788,222995
953,20230930,BANKERS TRUST COMPANY,DES MOINES,IA,NM,6497386,4926549
954,20230930,FNB BANK,FONTANELLE,IA,SM,263640,197488
955,20230930,CONNECTION BANK,FORT MADISON,IA,SM,475946,393537
956,20230930,GLENWOOD STATE BANK,GLENWOOD,IA,SM,308764,276527
958,20230930,UNITED BANK OF IOWA,IDA GROVE,IA,NM,2402718,1851216
963,20230930,THE HOME TRUST & SAVINGS BANK,OSAGE,IA,SM,279616,242955
966,20230930,HOME STATE BANK,ROYAL,IA,NM,52565,40774
968,20230930,SECURITY TRUST & SAVINGS BANK,STORM LAKE,IA,SM,276505,258103
969,20230930,TEMPLETON SAVINGS BANK,TEMPLETON,IA,SM,166067,130555
976,20230930,BLISSFIELD STATE BANK,BLISSFIELD,MI,SM,109910,104174
977,20230930,TRI-COUNTY BANK,BROWN CITY,MI,SM,544819,455948
982,20230930,EASTERN MICHIGAN BANK,CROSWELL,MI,SM,544142,507772
983,20230930,COMERICA BANK,DALLAS,TX,SM,85808000,68486000
999,20230930,G. W. JONES EXCHANGE BANK,MARCELLUS,MI,SM,124133,115508
1005,20230930,ISABELLA BANK,MOUNT PLEASANT,MI,SM,2069450,1789960
1008,20230930,BANK MICHIGAN,BROOKLYN,MI,SM,119087,102398
1014,20230930,CHOICEONE BANK,SPARTA,MI,SM,2571301,2144360
1022,20230930,"CLARE BANK, NATIONAL ASSOCIATION",PLATTEVILLE,WI,N,312435,268943
1027,20230930,FARMERS BANK AND TRUST COMPANY,BLYTHEVILLE,AR,SM,381211,343243
1028,20230930,FBT BANK & MORTGAGE,FORDYCE,AR,SM,245491,214898
1040,20230930,MIDLAND STATES BANK,EFFINGHAM,IL,SM,7965771,6406682
1047,20230930,BANK & TRUST COMPANY,LITCHFIELD,IL,NM,457601,382895
1049,20230930,FIRST NATIONAL BANK OF STEELEVILLE,STEELEVILLE,IL,N,236222,204221
1058,20230930,MIDWEST BANKCENTRE,LEMAY,MO,SM,2706930,2271580
1060,20230930,WOOD & HUSTON BANK,MARSHALL,MO,NM,1135330,1035871
1068,20230930,CASS COMMERCIAL BANK,DES PERES,MO,SM,1580967,1398128
1073,20230930,LINDELL BANK & TRUST COMPANY,ST. LOUIS,MO,SM,861718,721058
1086,20230930,THE BANK OF VERSAILLES,VERSAILLES,MO,SM,322983,257116
1090,20230930,UPPER PENINSULA STATE BANK,ESCANABA,MI,NM,301179,248602
1092,20230930,BAYBANK,GLADSTONE,MI,NM,151118,133735
1095,20230930,CENTRAL SAVINGS BANK,SAULT SAINTE MAR,MI,SM,432756,407455
1098,20230930,ROOT RIVER STATE BANK,CHATFIELD,MN,SM,84767,80776
1100,20230930,PEOPLES STATE BANK OF PLAINVIEW,PLAINVIEW,MN,SM,354746,314974
1105,20230930,FIRST INTERSTATE BANK,BILLINGS,MT,SM,30468800,23787754
1117,20230930,AMERICAN BANK & TRUST,SIOUX FALLS,SD,NM,1647634,1460569
1118,20230930,"CITIZENS STATE BANK, OF ARLINGTON",ARLINGTON,SD,SM,141692,124795
1122,20230930,FIRST FIDELITY BANK,BURKE,SD,NM,492492,461353
1125,20230930,MERCHANTS STATE BANK,FREEMAN,SD,SM,208705,172603
1141,20230930,THE COLORADO BANK AND TRUST COMPANY OF LA JUNTA,LA JUNTA,CO,SM,190865,157932
1147,20230930,THE PEOPLES BANK,PRATT,KS,SM,476813,428435
1150,20230930,FIDELITY STATE BANK AND TRUST COMPANY,TOPEKA,KS,NM,152172,131810
1163,20230930,WAHOO STATE BANK,WAHOO,NE,SM,127241,102900
1164,20230930,THE CITIZENS BANK,FARMINGTON,NM,NM,779548,674790
1165,20230930,THE FIRST BANK OF OKARCHE,OKARCHE,OK,NM,136675,118155
1167,20230930,UINTA BANK,MOUNTAIN VIEW,WY,SM,254237,226332
1169,20230930,SUNDANCE STATE BANK,SUNDANCE,WY,SM,239499,205394
1184,20230930,"THE BANK AND TRUST, S.S.B.",DEL RIO,TX,SM,537117,499073
1198,20230930,ARROWHEAD BANK,LLANO,TX,NM,281582,261850
1208,20230930,"GUARANTY BANK & TRUST, N.A.",MOUNT PLEASANT,TX,N,3228044,2659917
1209,20230930,"COMMERCIAL BANK OF TEXAS, NATIONAL ASSOCIATION",NACOGDOCHES,TX,N,1339539,1231834
1210,20230930,VISTA BANK,DALLAS,TX,SM,1989075,1719858
1213,20230930,"CORNERSTONE CAPITAL BANK, SSB",ROSCOE,TX,SI,2244364,1206092
1218,20230930,FIRST STATE BANK,SPEARMAN,TX,NM,181439,163061
1219,20230930,WELLINGTON STATE BANK,WELLINGTON,TX,SM,561515,468924
1225,20230930,FARMERS AND MERCHANTS BANK OF LONG BEACH,LONG BEACH,CA,SM,12464229,9055590
1237,20230930,IRELAND BANK,MALAD CITY,ID,NM,365729,312239
1265,20230930,CASHMERE VALLEY BANK,CASHMERE,WA,NM,1999155,1796768
1281,20230930,WASHINGTON TRUST BANK,SPOKANE,WA,NM,11348675,8066362
1291,20230930,FARMERS BANK & TRUST COMPANY,MAGNOLIA,AR,SM,2718110,2465866
1294,20230930,FNBC BANK,ASH FLAT,AR,SM,763961,552286
1296,20230930,FARMERS BANK,GREENWOOD,AR,NM,275355,243451
1299,20230930,EVOLVE BANK & TRUST,WEST MEMPHIS,AR,SM,1478148,1234830
1331,20230930,FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,LODI,CA,NM,5377981,4753280
1365,20230930,PEOPLES BANK AND TRUST COMPANY,MCPHERSON,KS,NM,1083202,835564
1373,20230930,BOM BANK,NATCHITOCHES,LA,NM,966207,855246
1374,20230930,THE BANK OF COMMERCE,WHITE CASTLE,LA,NM,67738,61001
1376,20230930,CITIZENS BANK & TRUST COMPANY,PLAQUEMINE,LA,NM,424793,361909
1380,20230930,FELICIANA BANK & TRUST COMPANY,CLINTON,LA,NM,147351,124836
1386,20230930,RED ROCK BANK,SANBORN,MN,NM,46962,42225
1391,20230930,ARLINGTON STATE BANK,ARLINGTON,MN,NM,60053,58882
1399,20230930,FRANDSEN BANK & TRUST,LONSDALE,MN,SM,3353000,2764853
1401,20230930,STATE BANK OF DANVERS,BENSON,MN,NM,66309,57460
1402,20230930,CITIZENS ALLIANCE BANK,CLARA CITY,MN,NM,1466680,1257104
1409,20230930,KENSINGTON BANK,KENSINGTON,MN,NM,392043,331251
1413,20230930,PERENNIAL BANK,DARWIN,MN,NM,145823,139606
1415,20230930,NORTHWOODS BANK OF MINNESOTA,PARK RAPIDS,MN,SB,139826,128645
1417,20230930,WOODLANDS NATIONAL BANK,HINCKLEY,MN,N,318126,297198
1418,20230930,BANK OF WESTON,WESTON,MO,NM,197705,184056
1426,20230930,FOCUS BANK,CHARLESTON,MO,NM,818098,612979
1427,20230930,UNITED SECURITY BANK,FULTON,MO,NM,86558,69728
1434,20230930,TOWN & COUNTRY BANK,RAVENNA,NE,SM,205371,171594
1435,20230930,EXCHANGE BANK,KEARNEY,NE,NM,1374300,1060167
1438,20230930,COUNTRYSIDE BANK,UNADILLA,NE,NM,109740,91101
1439,20230930,AMERICAN INTERSTATE BANK,ELKHORN,NE,NM,110081,84618
1464,20230930,BANK OF HOLLAND,HOLLAND,NY,NM,222275,208049
1468,20230930,BANK OF CROCKETT,BELLS,TN,SM,264291,240226
1475,20230930,PEOPLES BANK & TRUST COMPANY,MANCHESTER,TN,NM,140805,122342
1484,20230930,BANK OF FRANKEWING,FRANKEWING,TN,NM,546578,494985
1487,20230930,FIRST FARMERS AND MERCHANTS BANK,COLUMBIA,TN,SM,1866657,1674675
1497,20230930,SECURITY STATE BANK,PEARSALL,TX,NM,798607,719242
1513,20230930,CITIZENS STATE BANK OF LA CROSSE,LA CROSSE,WI,NM,622797,497704
1527,20230930,DIAMOND BANK,MURFREESBORO,AR,SM,789628,725192
1528,20230930,SOUTHERN BANCORP BANK,ARKADELPHIA,AR,SM,2529545,1978520
1536,20230930,BANK OF STOCKTON,STOCKTON,CA,NM,4443073,3658149
1545,20230930,"FIRST NATIONAL BANK, AMES, IOWA",AMES,IA,N,1123077,936176
1547,20230930,IOWA TRUST AND SAVINGS BANK,CENTERVILLE,IA,NM,213347,159172
1550,20230930,CENTRAL STATE BANK,ELKADER,IA,SM,463847,359786
1552,20230930,CBI BANK & TRUST,MUSCATINE,IA,SM,1166310,1025308
1553,20230930,THE SHELBY COUNTY STATE BANK,HARLAN,IA,NM,532540,477561
1556,20230930,TWIN CEDARS BANK,BUSSEY,IA,NM,75481,63455
1562,20230930,PEOPLES BANK,LEBANON,KY,NM,143319,131156
1566,20230930,THE PEOPLES BANK,TAYLORSVILLE,KY,NM,123639,114336
1596,20230930,"COMERICA BANK & TRUST, NATIONAL ASSOCIATION",ANN ARBOR,MI,N,95367,632
1600,20230930,FIRST FARMERS & MERCHANTS STATE BANK,BROWNSDALE,MN,NM,97367,82522
1604,20230930,SECURITY BANK USA,BEMIDJI,MN,NM,238159,217665
1607,20230930,THE BANK OF ELK RIVER,ELK RIVER,MN,NM,640648,618675
1609,20230930,FIRST STATE BANK OF WYOMING,WYOMING,MN,NM,228893,203616
1610,20230930,THE STATE BANK OF FARIBAULT,FARIBAULT,MN,NM,294065,274152
1611,20230930,"CARROLL COUNTY TRUST COMPANY OF CARROLLTON, MISSOURI",CARROLLTON,MO,NM,204877,167389
1612,20230930,SHERWOOD COMMUNITY BANK,CREIGHTON,MO,NM,76032,62088
1616,20230930,EXCHANGE BANK OF MISSOURI,FAYETTE,MO,SM,344235,310300
1617,20230930,THE BANK OF MISSOURI,PERRYVILLE,MO,NM,2902676,2271618
1622,20230930,FIRST SECURITY BANK,UNION STAR,MO,NM,53543,49526
1635,20230930,BANK OF KIRKSVILLE,KIRKSVILLE,MO,NM,405681,344143
1639,20230930,FCNB BANK,STEELVILLE,MO,SM,196004,161808
1654,20230930,OZARK BANK,OZARK,MO,NM,325392,283692
1655,20230930,THE BANK OF OLD MONROE,OLD MONROE,MO,NM,658321,624243
1660,20230930,FARMERS AND MERCHANTS BANK OF SOUTH CAROLINA,HOLLY HILL,SC,NM,386219,350147
1673,20230930,1ST FINANCIAL BANK USA,DAKOTA DUNES,SD,NM,1236101,923940
1675,20230930,RICHLAND STATE BANK,BRUCE,SD,NM,49985,45951
1678,20230930,PLAINS COMMERCE BANK,SIOUX FALLS,SD,NM,1145987,905379
1686,20230930,FARMERS STATE BANK,PARKSTON,SD,NM,246494,237490
1687,20230930,COMMUNITY BANK,AVON,SD,NM,60873,51792
1693,20230930,UBANK,JELLICO,TN,NM,138301,119439
1696,20230930,THE FARMERS BANK,PORTLAND,TN,NM,836318,726520
1700,20230930,FIRST CENTURY BANK,TAZEWELL,TN,NM,614020,549952
1705,20230930,MOUNTAIN VALLEY BANK,DUNLAP,TN,NM,218113,158361
1711,20230930,CITIZENS BANK OF LAFAYETTE,LAFAYETTE,TN,NM,1507378,1329597
1713,20230930,BANK OF PERRY COUNTY,LOBELVILLE,TN,NM,221924,193909
1715,20230930,CITIZENS 1ST BANK,TYLER,TX,SM,710031,539820
1720,20230930,WESTERN BANK,LUBBOCK,TX,NM,681651,581079
1730,20230930,PEOPLES BANK OF GREENSBORO,GREENSBORO,AL,NM,107106,104250
1735,20230930,FARMERS AND MERCHANTS BANK,PIEDMONT,AL,NM,289059,257386
1744,20230930,FIRST BANK,WADLEY,AL,NM,126241,118849
1745,20230930,THE FARMERS & MERCHANTS BANK,WATERLOO,AL,NM,99642,93195
1753,20230930,UNION BANK & TRUST COMPANY,MONTICELLO,AR,NM,294139,254143
1756,20230930,CENTRAL BANK,LITTLE ROCK,AR,NM,541458,456597
1768,20230930,MECHANICS BANK,WALNUT CREEK,CA,NM,17838311,14675816
1778,20230930,THE STATE BANK,LA JUNTA,CO,NM,121669,102598
1779,20230930,THE CITIZENS STATE BANK OF OURAY,OURAY,CO,NM,205206,192349
1780,20230930,FARMERS STATE BANK OF CALHAN,CALHAN,CO,NM,378320,308794
1781,20230930,FIRST STATE BANK SHANNON-POLO,SHANNON,IL,NM,206943,192077
1786,20230930,LONGVIEW BANK,OGDEN,IL,NM,576201,485210
1808,20230930,BETTER BANKS,PEORIA,IL,NM,457429,432907
1821,20230930,FOWLER STATE BANK,FOWLER,IN,NM,202111,167178
1829,20230930,THE FAIRMOUNT STATE BANK,FAIRMOUNT,IN,SM,58100,46483
1833,20230930,STATE BANK,BROWNSBURG,IN,NM,802283,686909
1839,20230930,COMMUNITY STATE BANK,ROYAL CENTER,IN,NM,162922,152361
1843,20230930,THE FARMERS AND MERCHANTS BANK,BOSWELL,IN,NM,200402,182737
1847,20230930,THE BIPPUS STATE BANK,HUNTINGTON,IN,NM,339228,284535
1849,20230930,WAYNE BANK AND TRUST CO.,CAMBRIDGE CITY,IN,SM,216204,198941
1852,20230930,FIRST SECURITY BANK AND TRUST COMPANY,CHARLES CITY,IA,NM,569681,515252
1857,20230930,WAUKON STATE BANK,WAUKON,IA,SM,412130,344377
1860,20230930,MONTEZUMA STATE BANK,MONTEZUMA,IA,NM,56472,50091
1862,20230930,WAYLAND STATE BANK,MOUNT PLEASANT,IA,NM,125519,103767
1865,20230930,THE KANSAS STATE BANK OVERBROOK KANSAS,OVERBROOK,KS,NM,86355,72637
1867,20230930,"THE FARMERS STATE BANK OF OAKLEY, KANSAS",OAKLEY,KS,NM,257847,179369
1868,20230930,THE BANK OF TESCOTT,TESCOTT,KS,NM,433110,365010
1869,20230930,UNION STATE BANK,ARKANSAS CITY,KS,SM,633158,518528
1874,20230930,BANK OF LABOR,KANSAS CITY,KS,NM,893331,848336
1895,20230930,FARMERS AND MERCHANTS BANK,UPPERCO,MD,NM,757026,645870
1900,20230930,FIRST INDEPENDENT BANK,RUSSELL,MN,NM,485430,402486
1903,20230930,ST. CLAIR STATE BANK (INCORPORATED),SAINT CLAIR,MN,NM,112740,99293
1905,20230930,"PROFINIUM, INC.",TRUMAN,MN,SM,505484,434914
1906,20230930,TRIUMPH STATE BANK,TRIMONT,MN,NM,90603,80309
1908,20230930,THE WANDA STATE BANK,WANDA,MN,NM,180569,158136
1913,20230930,CASTLE ROCK BANK,CASTLE ROCK,MN,NM,276613,241137
1929,20230930,FARMERS STATE BANK OF TRIMONT,TRIMONT,MN,NM,79067,68713
1931,20230930,NEW MARKET BANK,ELKO NEW MARKET,MN,NM,188861,169106
1933,20230930,CITIZENS STATE BANK NORWOOD YOUNG AMERICA,NORWOOD YOUNG AM,MN,NM,123206,111515
1936,20230930,COMMUNITY STATE BANK OF MISSOURI,BOWLING GREEN,MO,NM,285116,248562
1937,20230930,BANK OF CROCKER,WAYNESVILLE,MO,NM,140666,130949
1941,20230930,"THE TIPTON LATHAM BANK, NATIONAL ASSOCIATION",TIPTON,MO,N,162187,144737
1945,20230930,METZ BANKING COMPANY,NEVADA,MO,NM,95916,86613
1946,20230930,ALLIANT BANK,MADISON,MO,NM,204117,184109
1956,20230930,CITIZENS BANK OF ELDON,ELDON,MO,NM,213795,179972
1964,20230930,LAMAR BANK AND TRUST COMPANY,LAMAR,MO,SM,237544,198079
1972,20230930,CITIZENS BANK & TRUST COMPANY,BIG TIMBER,MT,SM,141319,118543
1978,20230930,THE YELLOWSTONE BANK,LAUREL,MT,SM,1157096,957244
1980,20230930,VALLEY BANK OF KALISPELL,KALISPELL,MT,NM,196489,183844
1982,20230930,THE FIRST STATE BANK OF MALTA,MALTA,MT,SM,158157,139411
1983,20230930,WESTERN NEBRASKA BANK,CURTIS,NE,NM,172592,136786
1986,20230930,COMMERCIAL STATE BANK,REPUBLICAN CITY,NE,NM,70524,46603
1992,20230930,PATHWAY BANK,CAIRO,NE,NM,292763,205698
1993,20230930,CERESCOBANK,CERESCO,NE,NM,66356,56399
2036,20230930,FARMERS & MERCHANTS BANK,GRANITE QUARRY,NC,NM,962413,849695
2057,20230930,STATE BANK & TRUST OF KENMARE,KENMARE,ND,NM,152759,139324
2068,20230930,THE FAHEY BANKING COMPANY,MARION,OH,NM,280693,221842
2093,20230930,THE NATIONAL CAPITAL BANK OF WASHINGTON,WASHINGTON,DC,N,681799,563571
2102,20230930,THE CONWAY NATIONAL BANK,CONWAY,SC,N,1824161,1573038
2107,20230930,FIRST NATIONAL BANK OF SOUTH CAROLINA,HOLLY HILL,SC,N,281119,259751
