Cert,Report_Period,Institution_Name,City,State,Class,Total_Assets,Total_Deposits
10197,20230930,HOMETOWN COMMUNITY BANK,CYRUS,MN,NM,81760,69481
10200,20230930,STATE BANK OF JEFFERS,JEFFERS,MN,NM,37338,32672
10202,20230930,LOWRY STATE BANK,LOWRY,MN,NM,75901,60889
10212,20230930,COMMERCE BANK,GENEVA,MN,NM,246675,165196
10214,20230930,VERMILLION STATE BANK,VERMILLION,MN,NM,804550,710004
10218,20230930,CITIZENS BANK & TRUST CO.,HUTCHINSON,MN,NM,322470,296131
10236,20230930,THE GOOSE RIVER BANK,MAYVILLE,ND,NM,165882,140535
10243,20230930,FIRST STATE BANK OF GOLVA,GOLVA,ND,NM,103920,100712
10248,20230930,FIRST INTERNATIONAL BANK & TRUST,WATFORD CITY,ND,NM,5028858,4323272
10249,20230930,UNITED COMMUNITY BANK OF NORTH DAKOTA,LEEDS,ND,NM,384944,322733
10250,20230930,PEOPLES STATE BANK OF VELVA,VELVA,ND,NM,147976,129907
10253,20230930,FIRST SECURITY BANK - WEST,BEULAH,ND,NM,64781,58580
10255,20230930,THE OLD FORT BANKING COMPANY,OLD FORT,OH,NM,847242,815760
10266,20230930,THE CITIZENS BANK COMPANY,BEVERLY,OH,NM,303645,266679
10280,20230930,THE FARMERS AND MERCHANTS BANK,CALDWELL,OH,NM,119989,103656
10307,20230930,BUILTWELL BANK,CHATTANOOGA,TN,NM,1796598,1575040
10308,20230930,THE BANK OF FAYETTE COUNTY,PIPERTON,TN,SM,877405,733177
10315,20230930,BANK OF HALLS,HALLS,TN,SM,128945,119615
10317,20230930,CITIZENS BANK AND TRUST COMPANY OF GRAINGER COUNTY,RUTLEDGE,TN,NM,262808,240432
10319,20230930,CITIZENS SAVINGS BANK AND TRUST COMPANY,NASHVILLE,TN,NM,173440,151184
10327,20230930,CITIZENS STATE BANK OF LULING,LULING,TX,NM,69442,57972
10330,20230930,COMMERCIAL STATE BANK,PALMER,TX,NM,100929,92701
10334,20230930,OAKWOOD BANK,DALLAS,TX,NM,825558,715406
10344,20230930,SCHERTZ BANK & TRUST,SCHERTZ,TX,NM,791972,680611
10345,20230930,PEOPLES STATE BANK,SHEPHERD,TX,NM,161071,153384
10352,20230930,CROWELL STATE BANK,CROWELL,TX,SM,45550,40538
10363,20230930,CITIZENS AND FARMERS BANK,WEST POINT,VA,NM,2400726,2043749
10374,20230930,BANNER BANKS,BIRNAMWOOD,WI,NM,119353,106424
10378,20230930,THE BANK OF NEW GLARUS,NEW GLARUS,WI,NM,467169,388671
10380,20230930,OOSTBURG STATE BANK,OOSTBURG,WI,NM,342320,303222
10382,20230930,FARMERS & MERCHANTS BANK & TRUST,MARINETTE,WI,NM,164794,140234
10383,20230930,STATE BANK FINANCIAL,LA CROSSE,WI,SM,449240,378413
10384,20230930,WAUMANDEE STATE BANK,WAUMANDEE,WI,NM,328953,275438
10407,20230930,THE FARMERS STATE BANK OF BRUSH,BRUSH,CO,NM,117697,94199
10434,20230930,STATE BANK OF GRAYMONT,GRAYMONT,IL,NM,314469,268558
10437,20230930,FIRST STATE BANK OF OLMSTED,OLMSTED,IL,NM,68113,61171
10438,20230930,RARITAN STATE BANK,RARITAN,IL,NM,241291,214330
10446,20230930,"FREDERICK COMMUNITY BANK, THE",PAXTON,IL,NM,176239,160168
10458,20230930,FARMERS STATE BANK & TRUST CO.,MOUNT STERLING,IL,NM,116617,107072
10460,20230930,TOWN & COUNTRY BANK MIDWEST,QUINCY,IL,NM,206254,181796
10463,20230930,MIDDLETOWN STATE BANK,MIDDLETOWN,IL,NM,43396,38309
10464,20230930,FEDERATED BANK,ONARGA,IL,NM,116207,105274
10467,20230930,THE GIFFORD STATE BANK,GIFFORD,IL,NM,191313,169477
10469,20230930,FARMERS & MERCHANTS BANK OF HUTSONVILLE,HUTSONVILLE,IL,NM,54471,45183
10471,20230930,CAMP GROVE STATE BANK,CAMP GROVE,IL,SM,58261,53285
10473,20230930,IPAVA STATE BANK,IPAVA,IL,NM,208786,192289
10474,20230930,CITIZENS STATE BANK,LENA,IL,NM,389729,357561
10489,20230930,ELGIN STATE BANK,ELGIN,IA,NM,28665,27950
10492,20230930,FARMERS AND MERCHANTS SAVINGS BANK,IOWA CITY,IA,NM,88387,69905
10494,20230930,MOUNT VERNON BANK AND TRUST COMPANY,MOUNT VERNON,IA,NM,184944,150367
10497,20230930,IOWA STATE BANK,SAC CITY,IA,NM,195199,166705
10500,20230930,FARMERS SAVINGS BANK,WEVER,IA,NM,125979,102598
10502,20230930,BANKWEST OF KANSAS,GOODLAND,KS,SM,143796,128301
10503,20230930,THE FIRST STATE BANK,NESS CITY,KS,SM,71008,63088
10505,20230930,THE KANSAS STATE BANK,OTTAWA,KS,NM,176025,159475
10520,20230930,THE CITIZENS BANK,MOREHEAD,KY,NM,200169,164556
10523,20230930,BANK OF COMMERCE & TRUST CO.,CROWLEY,LA,NM,359207,315345
10528,20230930,"EXCHANGE BANK AND TRUST COMPANY, NATCHITOCHES, LOUISIANA",NATCHITOCHES,LA,NM,191812,157022
10531,20230930,CITIZENS PROGRESSIVE BANK,WINNSBORO,LA,NM,265846,229525
10532,20230930,CLB THE COMMUNITY BANK,JONESVILLE,LA,NM,288570,250053
10533,20230930,WINNSBORO STATE BANK & TRUST COMPANY,WINNSBORO,LA,NM,338632,286652
10561,20230930,ARCADIAN BANK,ALBERT LEA,MN,NM,204949,174526
10567,20230930,UNITED MINNESOTA BANK,NEW LONDON,MN,NM,49402,45573
